NAME,ID,HIST_DATE,ARCH_DATE_MIN,ARCH_DATE_MAX,ARCH_DATE_MID,ALTITUDE,TERR_UNDUL,LAND_TYPE,LAND_TYPE_SIMP,ALA,DIST_PRAGUE,DIST_MAJTOWN,DIST_MONAST,DIST_MAJROAD,DIST_MAJRIV,STATUS,LONG,LAT
Nevězice,350,1499,1200,1300,1250,441,3.44,8,8,0,70586,18767,15860,4203,1268,0,-771367.7814,-1107573.439
Čimelice,351,1352,1200,1300,1250,424,2.65,8,8,0,73683,18350,21762,1787,7280,1,-777529.9273,-1108012.647
Dolní Ostrovec,352,1323,1200,1300,1250,385,2.75,8,8,0,77632,12363,18788,2109,6176,0,-774841.7606,-1113738.231
Mirotice,353,1254,1200,1300,1250,410,3.15,7,6+7,0,78195,15688,21469,3797,10718,1,-780390.7346,-1111594.444
Plíškovice,354,1379,1200,1300,1250,450,2.86,8,8,0,69912,24706,26045,774,10393,0,-780221.4012,-1102082.673
Chrášťovice,355,1544,1200,1300,1250,519,3.35,7,6+7,0,91979,8043,8404,1808,24983,0,-792046.9533,-1120713.309
Čížová,356,1401,1200,1300,1250,444,3.4,7,6+7,0,84628,6647,17725,285,11820,0,-777500.1616,-1120213.246
Topělec,357,1488,1200,1300,1250,394,3.63,8,8,0,85402,3765,19559,3294,9423,0,-774491.8491,-1122329.913
Oldřichov,358,1387,1200,1300,1250,395,3.1,8,8,0,88582,2991,16385,730,12622,0,-777055.6616,-1124716.455
Písek,359,1243,1200,1300,1250,374,4.1,8,8,0,88895,134,18793,3501,10344,1,-774284.1512,-1126158.434
Hradiště,360,1389,1200,1300,1250,408,3.06,8,8,0,90466,2198,16584,1393,12605,0,-776392.8804,-1127023.621
Kestřany,361,1338,1300,1350,1325,373,2.04,8,8,0,94333,6787,12669,2509,17033,0,-780192.2971,-1129632.413
Kváskovice,363,1334,1200,1300,1250,480,4.96,7,6+7,0,104454,11027,10798,9791,25721,0,-786574.0471,-1137866.246
